time,type,text,avc_Pedestrian.lane_id,avc_Pedestrian.pedestrian_id,avc_Pedestrian.speed,avc_Pedestrian.confidence,avc_Pedestrian.detector_type,source.id
2025-03-01T11:41:46.235000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1397950,6.6,7,flircam,2
2025-03-01T11:45:16.514000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1398014,5,10,flircam,2
2025-03-01T11:45:59.091000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1398021,5,10,flircam,2
2025-03-01T11:47:01.320000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1398041,4.3,10,flircam,2
2025-03-01T12:32:32.020000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398875,5.5,10,flircam,2
2025-03-01T12:32:55.846000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1398879,4.9,10,flircam,2
2025-03-01T12:33:06.855000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1398882,3.8,10,flircam,2
2025-03-01T12:33:08.591000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1398884,3.9,10,flircam,2
2025-03-01T12:33:40.456000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398895,3.6,10,flircam,2
2025-03-01T12:34:22.373000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398910,4.7,10,flircam,2
2025-03-01T12:34:26.041000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398914,4.9,10,flircam,2
2025-03-01T12:34:45.722000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398920,4.1,10,flircam,2
2025-03-01T12:34:46.123000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1398922,5.7,10,flircam,2
2025-03-01T12:35:51.988000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398939,6,10,flircam,2
2025-03-01T12:36:58.522000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1398956,3.4,10,flircam,2
2025-03-01T12:37:16.874000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398961,4,10,flircam,2
2025-03-01T12:37:17.476000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398964,3.8,10,flircam,2
2025-03-01T12:38:17.035000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398977,4.6,10,flircam,2
2025-03-01T12:38:18.038000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398980,4.4,10,flircam,2
2025-03-01T12:38:18.570000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1398982,3.6,10,flircam,2
2025-03-01T12:44:46.392000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1399109,3.4,10,flircam,2
2025-03-01T12:45:10.580000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1399116,5.2,10,flircam,2
2025-03-01T12:45:22.926000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1399121,5,10,flircam,2
2025-03-01T12:45:24.396000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1399124,4.9,10,flircam,2
2025-03-01T12:45:28.532000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1399129,10.4,10,flircam,2
2025-03-01T12:46:09.273000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1399139,6.6,10,flircam,2
2025-03-01T12:46:11.009000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1399141,6.3,10,flircam,2
2025-03-01T12:47:47.804000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1399168,5.7,10,flircam,2
2025-03-01T12:49:23.033000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1399188,6,10,flircam,2
2025-03-01T12:49:41.186000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1399197,5.7,10,flircam,2
2025-03-01T12:50:11.083000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1399207,5.1,10,flircam,2
2025-03-01T12:50:16.888000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1399209,5.1,10,flircam,2
2025-03-01T12:50:28.872000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1399214,4.7,10,flircam,2
2025-03-01T13:40:47.559000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1400055,3.1,10,flircam,2
2025-03-01T13:40:54.565000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1400059,5.8,10,flircam,2
2025-03-01T13:41:45.616000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1400065,5.3,10,flircam,2
2025-03-01T13:43:11.736000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1400086,5.9,10,flircam,2
2025-03-01T13:43:42.434000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1400101,6.3,10,flircam,2
2025-03-01T13:44:03.690000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1400108,5.4,10,flircam,2
2025-03-01T13:44:06.626000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1400112,4.8,10,flircam,2
2025-03-01T13:44:08.027000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1400116,7.6,10,flircam,2
2025-03-01T13:44:08.828000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1400119,4.2,10,flircam,2
2025-03-01T13:46:10.349000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1400152,5,10,flircam,2
2025-03-01T13:51:33.039000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1400274,5.4,10,flircam,2
2025-03-01T13:53:03.865000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1400301,5.8,10,flircam,2
2025-03-01T13:53:07.733000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1400304,4.6,10,flircam,2
2025-03-01T13:53:33.760000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1400309,4.5,10,flircam,2
2025-03-01T13:53:54.348000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1400311,4.4,10,flircam,2
2025-03-01T13:53:54.682000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1400313,4.1,10,flircam,2
2025-03-01T13:54:49.072000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1400325,6,10,flircam,2
2025-03-01T13:54:51.940000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1400328,3.8,10,flircam,2
2025-03-01T13:56:50.724000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1400368,5.5,10,flircam,2
2025-03-01T13:57:44.745000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1400380,4.2,10,flircam,2
2025-03-01T14:46:39.457000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401211,4.9,9,flircam,2
2025-03-01T14:46:39.989000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1401214,4,10,flircam,2
2025-03-01T14:46:53.433000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1401219,2.9,2,flircam,2
