time,type,text,avc_Vehicle.lane_id,avc_Vehicle.vehicle_id,avc_Vehicle.speed,avc_Vehicle.vehicle_class,avc_Vehicle.vehicle_class_ai,avc_Vehicle.length,avc_Vehicle.confidence,avc_Vehicle.detector_type,source.id
2025-03-01T08:24:01.088000+02:00,avc_VehicleEvent,Vehicle detected,2,1451852,24.5,1,Car,5,10,flircam,97869098849
2025-03-01T08:25:45.625000+02:00,avc_VehicleEvent,Vehicle detected,2,1451855,45.3,1,Car,5,10,flircam,97869098849
2025-03-01T08:26:53.028000+02:00,avc_VehicleEvent,Vehicle detected,2,1451860,36.9,1,Car,5,7,flircam,97869098849
2025-03-01T08:27:36.203000+02:00,avc_VehicleEvent,Vehicle detected,2,1451863,30.8,1,Car,5,10,flircam,97869098849
2025-03-01T08:27:40.374000+02:00,avc_VehicleEvent,Vehicle detected,2,1451864,39.9,2,Bus,15,9,flircam,97869098849
2025-03-01T08:27:49.688000+02:00,avc_VehicleEvent,Vehicle detected,2,1451865,25.1,1,Car,5,10,flircam,97869098849
2025-03-01T08:28:46.640000+02:00,avc_VehicleEvent,Vehicle detected,2,1451866,23.6,1,Car,5,10,flircam,97869098849
2025-03-01T08:28:56.917000+02:00,avc_VehicleEvent,Vehicle detected,2,1451867,32.8,1,Car,5,9,flircam,97869098849
2025-03-01T08:29:22.275000+02:00,avc_VehicleEvent,Vehicle detected,2,1451868,25.9,1,Car,5,10,flircam,97869098849
2025-03-01T08:29:50.272000+02:00,avc_VehicleEvent,Vehicle detected,2,1451869,33.9,2,LargeTruck,12,10,flircam,97869098849
2025-03-01T08:29:59.480000+02:00,avc_VehicleEvent,Vehicle detected,2,1451870,37.1,1,Car,5,10,flircam,97869098849
2025-03-01T08:30:36.215000+02:00,avc_VehicleEvent,Vehicle detected,2,1451871,28.8,1,Car,5,6,flircam,97869098849
2025-03-01T08:30:48.795000+02:00,avc_VehicleEvent,Vehicle detected,2,1451872,33.5,2,Bus,15,8,flircam,97869098849
2025-03-01T08:30:53.534000+02:00,avc_VehicleEvent,Vehicle detected,2,1451873,41.2,1,Car,5,7,flircam,97869098849
2025-03-01T08:30:58.774000+02:00,avc_VehicleEvent,Vehicle detected,2,1451874,27.2,1,Car,5,10,flircam,97869098849
